Date,Settle
2014-03-05,97.78
2014-03-06,97.78
2014-03-07,97.78
2014-03-11,97.78
2014-03-12,97.78
2014-03-13,97.78
2014-03-14,108.17
2014-03-17,105.53
2014-03-18,104.55
2014-03-19,103.49
2014-03-20,102.38
2014-03-21,99.77
2014-03-24,95.65
2014-03-25,95.01
2014-03-26,94.52
2014-03-27,93.4
2014-03-28,90.31
2014-03-31,86.13
2014-04-01,86.13
2014-04-02,86.13
2014-04-03,86.13
2014-04-04,86.13
2014-04-07,86.13
2014-04-08,86.13
2014-04-09,86.13
2014-04-10,86.13
2014-04-11,86.13
2014-04-14,41.03
2014-04-15,41.0
2014-04-16,41.03
2014-04-17,40.88
2014-04-21,40.2
2014-04-22,39.99
2014-04-23,39.8
2014-04-24,39.66
2014-04-25,39.54
2014-04-28,39.1
2014-04-29,38.83
2014-04-30,38.83
2014-05-01,38.83
2014-05-02,38.83
2014-05-05,38.83
2014-05-06,38.83
2014-05-07,38.83
2014-05-08,38.83
2014-05-09,38.83
2014-05-12,38.83
2014-05-13,38.83
2014-05-14,35.73
2014-05-15,35.38
2014-05-16,35.19
2014-05-19,34.12
2014-05-20,33.81
2014-05-21,33.61
2014-05-22,33.36
2014-05-23,32.85
2014-05-27,31.31
2014-05-28,31.11
2014-05-29,30.85
2014-05-30,30.46
2014-06-02,30.46
2014-06-03,30.46
2014-06-04,30.46
2014-06-05,30.46
2014-06-06,30.46
2014-06-09,30.46
2014-06-10,30.46
2014-06-11,30.46
2014-06-12,30.46
2014-06-13,36.12
2014-06-16,35.22
2014-06-17,35.16
2014-06-18,35.1
2014-06-19,34.81
2014-06-20,34.26
2014-06-23,33.01
2014-06-24,32.85
2014-06-25,32.71
2014-06-26,32.59
2014-06-27,32.49
2014-06-30,32.23
2014-07-01,32.23
2014-07-02,32.23
2014-07-03,32.23
2014-07-07,32.23
2014-07-08,32.23
2014-07-09,32.23
2014-07-10,32.23
2014-07-11,32.23
2014-07-14,32.23
2014-07-15,38.05
2014-07-16,37.64
2014-07-17,37.21
2014-07-18,36.31
2014-07-21,34.55
2014-07-22,34.31
2014-07-23,34.04
2014-07-24,33.62
2014-07-25,32.85
2014-07-28,31.51
2014-07-29,31.04
2014-07-30,30.54
2014-07-31,30.54
2014-08-01,30.54
2014-08-04,30.54
2014-08-05,30.54
2014-08-06,30.54
2014-08-07,30.54
2014-08-08,30.54
2014-08-11,30.54
2014-08-12,30.54
2014-08-13,30.54
2014-08-14,29.46
2014-08-15,29.1
2014-08-18,28.23
2014-08-19,28.05
2014-08-20,27.88
2014-08-21,27.69
2014-08-22,27.38
2014-08-25,26.94
2014-08-26,26.86
2014-08-27,26.74
2014-08-28,26.57
2014-08-29,26.3
2014-09-02,26.32
2014-09-03,26.32
2014-09-04,26.32
2014-09-05,26.32
2014-09-08,26.32
2014-09-09,26.32
2014-09-10,26.32
2014-09-11,26.32
2014-09-12,26.32
2014-09-15,29.12
2014-09-16,28.88
2014-09-17,28.63
2014-09-18,28.47
2014-09-19,28.27
2014-09-22,27.96
2014-09-23,27.75
2014-09-24,27.63
2014-09-25,27.61
2014-09-26,27.84
2014-09-29,27.51
2014-09-30,27.51
2014-10-01,27.51
2014-10-02,27.51
2014-10-03,27.51
2014-10-06,27.51
2014-10-07,27.51
2014-10-08,27.51
2014-10-09,27.51
2014-10-10,27.51
2014-10-13,27.51
2014-10-14,27.65
2014-10-15,27.68
2014-10-16,27.66
2014-10-17,27.85
2014-10-20,27.72
2014-10-21,27.56
2014-10-22,27.44
2014-10-23,27.28
2014-10-24,27.02
2014-10-27,26.17
2014-10-28,25.92
2014-10-29,25.64
2014-10-30,25.46
2014-10-31,25.46
2014-11-03,25.46
2014-11-04,25.46
2014-11-05,25.46
2014-11-06,25.46
2014-11-07,25.46
2014-11-10,25.46
2014-11-11,25.46
2014-11-12,25.46
2014-11-13,25.46
2014-11-14,35.6
2014-11-17,35.95
2014-11-18,36.2
2014-11-19,36.28
2014-11-20,36.28
2014-11-21,36.31
2014-11-24,35.43
2014-11-25,35.21
2014-11-26,34.99
2014-11-28,34.99
2014-12-01,34.74
2014-12-02,34.74
2014-12-03,34.74
2014-12-04,34.74
2014-12-05,34.74
2014-12-08,34.74
2014-12-09,34.74
2014-12-10,34.74
2014-12-11,37.45
2014-12-12,46.45
2014-12-15,44.27
2014-12-16,43.76
2014-12-17,43.29
2014-12-18,42.82
2014-12-19,41.8
2014-12-22,39.75
2014-12-23,39.09
2014-12-24,36.96
2014-12-26,36.96
2015-01-02,47.75
2015-01-07,46.97
2015-01-08,47.46
2015-01-09,48.09
2015-01-12,49.11
2015-01-13,49.37
2015-01-14,49.26
2015-01-15,49.13
2015-01-16,49.43
2015-01-20,47.5
2015-01-21,47.16
2015-01-22,46.8
2015-01-23,45.94
2015-01-26,45.22
2015-01-27,45.39
2015-01-29,45.41
2015-01-30,46.7
2015-02-02,46.7
2015-02-03,46.7
2015-02-04,46.7
2015-02-05,46.7
2015-02-06,46.7
2015-02-09,46.7
2015-02-10,46.7
2015-02-11,46.7
2015-02-12,46.7
2015-02-13,60.8
2015-02-17,69.59
2015-02-18,71.64
2015-02-19,74.46
2015-02-20,77.66
2015-02-23,83.75
2015-02-24,85.28
2015-02-25,87.11
2015-02-26,88.86
2015-02-27,93.23
2015-03-02,93.23
2015-03-03,93.23
2015-03-04,93.23
2015-03-05,93.23
2015-03-06,93.23
2015-03-10,93.23
2015-03-11,93.23
2015-03-12,93.23
2015-03-13,52.23
2015-03-16,50.16
2015-03-17,49.85
2015-03-18,49.67
2015-03-19,49.46
2015-03-20,48.79
2015-03-23,48.04
2015-03-24,47.77
2015-03-25,47.31
2015-03-26,46.84
2015-03-27,46.16
2015-03-30,44.64
2015-04-01,44.64
2015-04-02,44.64
2015-04-06,44.64
2015-04-07,44.64
2015-04-08,44.64
2015-04-09,44.64
2015-04-10,44.64
2015-04-13,44.64
2015-04-14,44.64
2015-04-15,24.99
2015-04-16,24.74
2015-04-17,24.46
2015-04-20,23.46
2015-04-21,23.26
2015-04-22,23.11
2015-04-23,23.0
2015-04-24,23.02
2015-04-27,22.43
2015-04-28,22.28
2015-04-29,22.11
2015-04-30,22.11
2015-05-01,22.11
2015-05-04,22.11
2015-05-05,22.11
2015-05-06,22.11
2015-05-07,22.11
2015-05-08,22.11
2015-05-11,22.11
2015-05-12,22.11
2015-05-13,22.11
2015-05-14,23.27
2015-05-15,23.8
2015-05-18,24.14
2015-05-19,24.02
2015-05-20,23.86
2015-05-21,23.75
2015-05-22,23.54
2015-05-26,23.28
2015-05-27,23.17
2015-05-28,23.0
2015-05-29,22.92
2015-06-01,22.62
2015-06-02,22.62
2015-06-03,22.62
2015-06-04,22.62
2015-06-05,22.62
2015-06-08,22.62
2015-06-09,22.62
2015-06-10,22.62
2015-06-11,22.62
2015-06-12,20.73
2015-06-16,20.29
2015-06-17,20.05
2015-06-18,19.85
2015-06-19,19.63
2015-06-22,19.39
2015-06-23,19.25
2015-06-24,19.07
2015-06-25,18.89
2015-06-26,18.4
2015-07-01,17.3
2015-07-02,17.3
2015-07-06,17.3
2015-07-07,17.3
2015-07-08,17.3
2015-07-09,17.3
2015-07-10,17.3
2015-07-14,17.3
2015-07-15,19.01
2015-07-16,18.86
2015-07-17,19.03
2015-07-20,20.31
2015-07-21,20.31
2015-07-22,20.17
2015-07-23,20.0
2015-07-24,19.99
2015-07-27,20.42
2015-07-28,20.65
2015-07-29,20.83
2015-07-30,20.94
2015-07-31,20.94
2015-08-03,20.94
2015-08-04,20.94
2015-08-05,20.94
2015-08-06,20.94
2015-08-07,20.94
2015-08-10,20.94
2015-08-11,20.94
2015-08-12,20.94
2015-08-13,20.94
2015-08-14,21.53
2015-08-17,22.61
2015-08-18,22.69
2015-08-19,22.75
2015-08-20,22.82
2015-08-21,23.35
2015-08-24,23.79
2015-08-25,23.8
2015-08-26,23.84
2015-08-27,23.82
2015-08-28,24.2
2015-08-31,24.71
2015-09-01,24.71
2015-09-02,24.71
2015-09-03,24.71
2015-09-04,24.71
2015-09-08,24.71
2015-09-09,24.71
2015-09-10,24.71
2015-09-11,24.71
2015-09-14,24.71
2015-09-15,24.44
2015-09-16,24.36
2015-09-17,24.29
2015-09-18,24.88
2015-09-21,24.69
2015-09-22,24.6
2015-09-23,24.52
2015-09-24,24.46
2015-09-25,24.52
2015-09-28,23.9
2015-09-29,23.77
2015-09-30,0.0
2015-10-01,23.77
2015-10-02,23.77
2015-10-05,23.77
2015-10-06,23.77
2015-10-07,23.77
2015-10-08,23.77
2015-10-09,23.77
2015-10-12,23.77
2015-10-13,23.77
2015-10-14,22.92
2015-10-15,22.8
2015-10-16,22.89
2015-10-19,23.53
2015-10-20,23.56
2015-10-21,23.53
2015-10-22,23.51
2015-10-23,23.63
2015-10-26,23.46
2015-10-27,23.38
2015-10-28,23.27
2015-10-29,23.19
2015-10-30,23.18
2015-11-02,23.18
2015-11-03,23.18
2015-11-04,23.18
2015-11-05,23.18
2015-11-06,23.18
2015-11-09,23.18
2015-11-10,23.18
2015-11-11,23.18
2015-11-12,23.18
2015-11-13,23.53
2015-11-16,22.61
2015-11-17,22.41
2015-11-18,22.13
2015-11-19,21.92
2015-11-20,21.82
2015-11-23,21.36
2015-11-24,21.18
2015-11-25,20.68
2015-11-27,19.93
2015-11-30,19.26
2015-12-01,19.26
2015-12-02,19.26
2015-12-03,19.26
2015-12-04,19.26
2015-12-07,19.26
2015-12-08,19.26
2015-12-09,19.26
2015-12-10,19.26
2015-12-11,19.26
2015-12-14,23.21
2015-12-15,22.88
2015-12-16,22.59
2015-12-17,22.32
2015-12-18,21.83
2015-12-21,20.58
2015-12-22,20.19
2015-12-23,19.74
2015-12-24,18.54
